支付宝交易记录明细查询
账号:[jxluogang@qq.com]
起始日期:[2020-01-01 00:00:00]    终止日期:[2021-01-01 00:00:00]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
20201231374591864361 	,                    	,2020-12-31 03:12:24 ,                    ,2020-12-31 03:12:24 ,支付宝网站     ,即时到账交易          ,博时基金管理有限公司      ,余额宝-2020.12.30-收益发放 ,0.22    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
20201230367794314361 	,                    	,2020-12-30 03:13:38 ,                    ,2020-12-30 03:13:38 ,支付宝网站     ,即时到账交易          ,博时基金管理有限公司      ,余额宝-2020.12.29-收益发放 ,0.22    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
20201229361124411361 	,                    	,2020-12-29 03:10:37 ,                    ,2020-12-29 03:10:37 ,支付宝网站     ,即时到账交易          ,博时基金管理有限公司      ,余额宝-2020.12.28-收益发放 ,0.21    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020122822001473361403726254_1609133261b1b9b23456fc35edb362be8b58214eeW07	,2020122810493039222137766130ef07	,2020-12-28 13:28:01 ,                    ,2020-12-28 13:28:01 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,携程Trip com      ,退款-大连天津             ,165.50  ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020122822001473361403726254_1609133221e6942963f4193bce8609578a04a70d0W07	,2020122810493039222137766130ef07	,2020-12-28 13:27:34 ,                    ,2020-12-28 13:27:34 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,携程Trip com      ,退款-大连天津             ,165.50  ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020122822001473361403726254_160913321198f69914a89b373c97b9bf6feefd1c2W07	,2020122810493039222137766130ef07	,2020-12-28 13:27:01 ,                    ,2020-12-28 13:27:01 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,携程Trip com      ,退款-大连天津             ,165.50  ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
20201227662708093605 	,202012271100300701440653410735	,2020-12-28 12:31:49 ,2020-12-28 12:31:49 ,2020-12-27 07:29:34 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,蚂蚁会员（北京）网络技术服务有限公司,相互宝分摊-12月第2期-*刚     ,5.31    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020122822001473361403726254	,2020122810493039222137766130ef07	,2020-12-28 10:49:41 ,2020-12-28 10:49:42 ,2022-06-29 10:50:02 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,携程Trip com      ,大连天津                ,650.90  ,支出      ,交易成功    ,0.00     ,496.50   ,                    ,已支出      ,
20201228001080012204360087104034	,                    	,2020-12-28 10:21:03 ,                    ,2020-12-28 10:21:04 ,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-天弘越南市场股票(QDII)A-买入,50.00   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20201228001080012204360087126240	,                    	,2020-12-28 10:20:51 ,                    ,2020-12-28 10:20:52 ,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-华夏恒生ETF联接(QDII)A-买入,100.00  ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20201228001080012204360087015585	,                    	,2020-12-28 09:12:17 ,                    ,2020-12-28 09:12:18 ,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-天弘中证医药100指数A-买入,16.00   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20201228354296615361 	,                    	,2020-12-28 03:09:49 ,                    ,2020-12-28 03:09:49 ,支付宝网站     ,即时到账交易          ,博时基金管理有限公司      ,余额宝-2020.12.27-收益发放 ,0.22    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020122722001473361403161951	,8S285200012007144301010101	,2020-12-27 16:30:30 ,2020-12-27 16:30:32 ,2021-03-30 16:31:21 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,苏果生活超市(无锡政和店)   ,条码支付                ,112.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020122722001473361402973993	,20201227735021018895	,2020-12-27 10:13:28 ,2020-12-27 10:13:29 ,2021-03-30 10:14:19 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,南京青麦供应链有限公司     ,收银付款                ,2.90    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20201227347602527361 	,                    	,2020-12-27 03:04:29 ,                    ,2020-12-27 03:04:29 ,支付宝网站     ,即时到账交易          ,博时基金管理有限公司      ,余额宝-2020.12.26-收益发放 ,0.22    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
20201226338825557361 	,                    	,2020-12-26 02:52:40 ,                    ,2020-12-26 02:52:40 ,支付宝网站     ,即时到账交易          ,博时基金管理有限公司      ,余额宝-2020.12.25-收益发放 ,0.24    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020122522001473361401816630	,BX000001202012250e63405e346e4109	,2020-12-25 20:45:05 ,2020-12-25 20:45:07 ,2022-06-26 20:46:04 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,携程保险代理有限公司      ,保险产品000001          ,40.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020122522001473361402397164	,20201225000000c4eb1dcaae1a4e8d09	,2020-12-25 20:45:05 ,2020-12-25 20:45:07 ,2022-06-26 20:46:04 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,携程Trip com      ,单程无锡大连              ,347.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20201225333727547361 	,                    	,2020-12-25 03:13:34 ,                    ,2020-12-25 03:13:34 ,支付宝网站     ,即时到账交易          ,博时基金管理有限公司      ,余额宝-2020.12.24-收益发放 ,0.23    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
20201223001080012204360085847768	,                    	,2020-12-23 14:55:06 ,                    ,2020-12-23 14:55:10 ,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-汇添富中证环境治理指数(LOF)A-买入,500.00  ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20201222009130201010360041258080	,LC2020122221400620883024549733649098	,2020-12-22 21:40:06 ,2020-12-22 21:40:06 ,2020-12-22 21:41:22 ,支付宝网站     ,即时到账交易          ,浦发银行            ,余额宝-转出到银行卡          ,3200.00 ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
20201221001080012404360084933764	,                    	,2020-12-22 16:06:11 ,                    ,2020-12-22 16:06:11 ,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-富国中证新能源汽车-卖出至余额宝,3956.79 ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
20201221001080012404360084962679	,                    	,2020-12-22 15:42:20 ,                    ,2020-12-22 15:42:20 ,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-广发中证环保产业ETF联接A-卖出至余额宝,3013.32 ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
20201222001080012204360085357893	,                    	,2020-12-22 14:36:42 ,                    ,2020-12-22 14:36:48 ,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-汇添富中证环境治理指数(LOF)A-买入,500.00  ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20201222314399078361 	,                    	,2020-12-22 03:04:16 ,                    ,2020-12-22 03:04:16 ,支付宝网站     ,即时到账交易          ,博时基金管理有限公司      ,余额宝-2020.12.21-收益发放 ,0.04    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
20201221001080012204360084843787	,                    	,2020-12-21 10:16:31 ,                    ,2020-12-21 10:16:32 ,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-天弘越南市场股票(QDII)A-买入,50.00   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20201221001080012204360084813901	,                    	,2020-12-21 10:16:21 ,                    ,2020-12-21 10:16:23 ,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-华夏恒生ETF联接(QDII)A-买入,100.00  ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20201221001080012204360084710124	,                    	,2020-12-21 09:11:44 ,                    ,2020-12-21 09:11:45 ,支付宝网站     ,即时到账交易          ,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,蚂蚁财富-天弘中证医药100指数A-买入,16.00   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20201221302943856361 	,                    	,2020-12-21 03:26:36 ,                    ,2020-12-21 03:26:36 ,支付宝网站     ,即时到账交易          ,博时基金管理有限公司      ,余额宝-2020.12.20-收益发放 ,0.05    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020122022001473361456748191	,16084465617302454973364	,2020-12-20 14:42:42 ,2020-12-20 14:42:46 ,2021-12-20 14:43:04 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,四季尚品东北自助烤肉火锅    ,商品                  ,162.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
